Código,Lote,Cantidad
283142009,0,1
294142211,0,2
294142,0,2
8182923041,0,16
8182923,0,1
33506R,0,143
1341252024,404023,1
1341252024,0,1
091252024,0,23
291565096,0,11
291565,0,39
15726R,0,18
16726R,0,18
16726178,0,15
041989R,0,5
041989R105,0,13
882960R,0,3
15615R,0,5
120177R,0,28
01178003,0,1
62010542075,0,3
62010543075,0,3
116010543075,0,1
416629016,0,30
321093002,0,2
9101010091,0,48
9101010,0,35
403087052,0,2
2943087052,S230539,1
835219024,0,30
2943157009,0,886
457206024,0,2
01616R,0,14
388669053,0,30
011000R101,0,8
14610559020,202508LW,1
63510559,0,2
116610559064,0,1
04225R,0,8
291958,0,2
241958,0,10
242153002,HS562E,29
78417281095,0,23
335610593,0,358
335610593095,0,1
33917237075,0,7
062910096,0,13
365841864075,0,1
102341864075,0,1
218236R,0,81
