Código,Lote,Cantidad
8292633002,U036161,2
2489940016,0,60
947486001,0,22
40486001,0,8
13511271,0,2
60610865169,0,15
011234R,0,11
4260940227,0,24
3358936079009,0,381
3358936249009,0,16
012291R,0,2
61865816009,0,1
411914545075,0,1
24510344,0,9
24510344002,0,1
29210344,0,3
24510346002,0,1
100710346,0,3
62510349002,0,9
100710350,0,5
123210356002,0,7
533010342002,0,8
29210364055,0,5
100710367,0,5
134525081,0,2
120529R,0,1
81511300075,0,9
13511300014,0,24
13511300,0,6
24510908,0,90
8826376053,0,30
16549R,0,7
18057081016,0,8
573392002,ANIT17,1
35719091,02034T,25
294719,0,263
294719091,0,78
61812833009,0,4
01570R,0,6
223570003,0,18
722905R005,0,1
722905R005,6063113,20
722905R,0,1
01579R,D01879A,1
01579R,0,22
2941204002,A220469,21
2941204002,P222435,10
2941204002,A221030,3
2941204002,0,430
84411471,0,2
