Código,Lote,Cantidad
60628694009,0,3
13528694,0,2
1597275,0,7
11497275096,0,4
04005,0,1
04005024,0,16
28013R105,0,18
16874016,0,4
09874002,0,10
120029R,0,30
09029R,0,3
16645R,0,39
2501138002,0723016,3
2501138,0,25
13751138002,0,10
128028R,0,28
128028R105,0,1
7920401,0,1012
7920401009,0,250
60612561075,0,78
13431584,0,1
1270259,0,1
1270259003,0,55
16259095,0,56
60611520,0,2
7911520075,0,1
98011520020,0,27
60910080075,0,5
60610040,0,2
7910041,0,2
29210071,0,2
7913220,0,13
533013220003,0,80
01050R,0,14
2401140,0,3
2401140096,0,1
8681140,0,5
2941140,0,2
25056R,0,36
412507041,404910,1
128999R,0,10
09976R,0,23
01070R105,0,6
01070R,0,13
09076R,0,5
324058002,0,43
294058002,0,47
323060002,0,202
1589149020,0,104
15893117020,0,62
