Código,Lote,Cantidad
2182124R,0,62
2831159002,0,9
01406R,0,26
22467685052,0,2
211115R105,0,1
211115R,0,7
03115R105,0,3
03115R,0,42
03115003,0,100
218410024,0,1
2831222095,0,9
2831222,0,13
84917R,0,85
8381953020,0,41
9101953002,0,20
80276095,0,27
52276,0,24
469421085,0,2
469421,0,5
797932643276,0,1603
5062428002,0,28
158427,0,1
5062427002,0,1
3232541002,0,30
292541091,1462238,1
292541091,0,87
9442823037,0,1
81511330072,0,12
13511332,0,1
13511332014,0,18
81511200,0,11
218465R,0,10
218465013,0,6
60358R,0,38
598394R,0,60
543060016,0,50
47967,0,10
50523444,0,1
128474R,0,8
012607016,0,600
16682607016,0,90
3696938262,20211119074,4
3696938262,0,1
62519764075,0,20
62519764,0,1
1288717048,0,7
29576016,0,60
123389R,0,19
121143R,0,16
9102633,0,27
