Código,Lote,Cantidad
218237R,0,50
218237R105,0,40
8010584009,0,29
1691077052,0,1
421077002,0,1
1015941302075,0,16
1015924106075,7230314,7
128698R,0,33
3001219101,0,1
3001219,0,5
128930R,0,30
39858538,1,1
348410656115,FC001320,33
348410656115,0,9
162920493011,0,50
3356918336248,0,2000
162918336,0,4590
162918336079,0,70
294273003,0,14
294272002,0,13
3706183009,0,1
3706183012,0,19
15977024,0,6
1270409003,0,41
159759002,0,60
838759,0,95
01293R,0,6
34631024,0,3
218639R,0,31
41307015,0,5
294307091,0,17
294307,0,47
283309003,HDC129,26
283309003,HDC130,10
283309003,0,68
294309,0,25
63210688009,0,8
01315R,D01870C,10
01315R,0,14
63212902009,0,37
63212234009,0,14
4663260052,0,4
4665132052,0,1
2672626,0,12
466911096,NT69G69,1
41862001,0,1
120330R,0,16
90328R,0,19
335610736,0,999
335610736003,0,1
