Código,Lote,Cantidad
60410446033,0,4
60410446029,0,1
29210446,0,5
60410447029,0,2
60410449029,0,5
60410445033,0,16
16210456,0,4
16210457009,0,18
533010458,0,16
16210458020,0,20
60410459033,0,11
16210459075,0,34
116610460020,0,21
16210461075,0510980821,1
16210461075,0,1
60410452033,0,19
60410452,0,1
16210455020,0,44
16210455075,0,1
224919297002,0,3
102111258,0,1
102111258020,0,50
365810495009,0,16
307410495020,0,4
307410492020,0,1
60410506,0,1
60410512,0,3
3535917543,0,2
3535917543009,0,1
3535917542,0,1
411911203075,0,1
13511376075,0,1
411911205075,0,1
81511206072,0,10
01137R,0,20
1589870020,0,31
294870,0,93
294769002,0,1
294159002,0,9
1267799002,0,28
5967457,0,22
5967457002,0,1
1581083,0,4
221083091,0,37
16091095,0,22
223091,0,1
653370R,0,2
653370,0,20
01147R,D01108D,13
01147R,0,21
